cbu,load_id,id,qty
UMUD4R2,5,1097,7
FDNA1R0,5,1098,2
EMTX100,5,1099,1
EMVW100,5,1100,1
YIKB100,5,1101,1
LCLY1R0,5,1102,1
EEDA1R4,5,1103,1
UMUD3R3,5,1104,6
LCRR1R1,5,1105,1
QDEC1R0,5,1106,1
LFWY1R1,5,1107,1
LPTC100,5,1108,1
FDNB1R0,5,1109,1
XICT100,5,1110,1
LIOU100,5,1111,1
LIOY1R1,5,1112,1
LIPT1R0,5,1113,1
LIOL1R1,5,1114,1
LIOR1R2,5,1115,1
LIOM1R1,5,1116,1
LIOT1R2,5,1117,1
ELFH1R0,5,1118,1
ELFM1R0,5,1119,1
EMDT100,5,1120,1
EMDU100,5,1121,2
LLVC1R0,5,1122,1
LLUW1R0,5,1123,1
LLUU1R0,5,1124,1
LLUX1R1,5,1125,1
FSMO1R0,5,1126,1
FSMP1R0,5,1127,1
YVCA100,5,1128,1
YVCC100,5,1129,1
LLUQ1R0,5,1130,1
LLUR1R0,5,1131,1
LLUT1R0,5,1132,1
LLUZ1R0,5,1133,1
LLVA1R0,5,1134,1
LSEQ1R3,5,1135,3
VSSM100,5,1136,1
UMUG1R2,5,1137,1
UMUD4R2,5,1138,5
VCCJ100,5,1139,1
DWXF1R0,5,1140,1
LFMQ1R0,5,1141,1
LGAM2R0,5,1142,1
LEQM1R2,5,1143,1
LERI1R3,5,1144,1
LERN1R2,5,1145,1
LERO1R2,5,1146,1
LIOV1R0,5,1147,1
LIOU1R0,5,1148,1
LIOI1R1,5,1149,1
LIOQ1R1,5,1150,1
LJSC1R3,5,1151,3
LLOK1R0,5,1152,1
LLOF1R0,5,1153,4
MPFF100,5,1154,2
MPFE100,5,1155,3
MPFI100,5,1156,2
VSSM100,5,1157,1
LLOG1R0,5,1158,3
XICP100,5,1159,1
XICQ100,5,1160,2
XICR100,5,1161,2
XICS100,5,1162,1
QDEB1R0,5,1163,12
EMUL100,5,1164,12
EFOE100,5,1165,2
EFOF100,5,1166,2
EMSU100,5,1167,4
EMUS100,5,1168,3
EMSR100,5,1169,3
EMOZ100,5,1170,3
EMNY100,5,1171,3
EMPZ100,5,1172,2
EMSV100,5,1173,3
XICJ100,5,1174,2
XICL100,5,1175,2
XICK100,5,1176,1
XICN100,5,1177,2
XICP100,5,1178,1
XICO100,5,1179,2
XICM100,5,1180,2
UMUD1R2,5,1181,6
UMUD2R2,5,1182,6
XICU100,5,1183,1
LCLP1R0,5,1184,1
LCLI1R0,5,1185,1
LCLF1R0,5,1186,1
