id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
2,12394,t,100017,,CA00013
6,91678,t,100033,,CA00011
3,55054,t,100016,,CA00012
4,93737,t,100015,,CA00014
7,143885,t,100028,,CA00001
8,51293,t,100028,,CA00002
9,49891,t,100028,,CA00005
10,13220,t,100028,,CA00006
11,13014,t,100028,,CA00007
12,34406,t,100028,,CA00008
13,25732,t,100028,,CA00009
14,4018,f,100038,,CA00111
15,2318,f,100041,,CA00040
16,342,f,100044,,CA00053
17,43314,f,100048,,CA00163
18,118254,f,100029,,CA00004
19,5849,f,100026,,CA00094
20,75332,f,100013,,CA00021
21,44499,f,100013,,CA00022
22,2761,f,100010,,CA00046
23,508,t,100021,,CA00205
24,508,t,100021,,CA00206
25,973,t,100021,,CA00223
26,960,t,100021,,CA00224
27,594,t,100021,,CA00225
28,8810,f,100081,,CA00067
29,10107,f,100083,,CA00096
30,8726,f,100083,,CA00097
33,4370,f,100051,,CA00104
34,1083,f,100051,,CA00194
35,5453,f,100050,,CA00029
37,960,f,100036,,CA00226
38,508,f,100036,,CA00227
39,508,f,100036,,CA00228
40,508,f,100036,,CA00229
41,508,f,100036,,CA00230
42,508,f,100036,,CA00231
43,508,f,100036,,CA00232
44,508,f,100036,,CA00233
45,508,f,100036,,CA00234
46,995,f,100036,,CA00235
47,508,f,100036,,CA00244
48,557,f,100036,,CA00247
49,557,f,100036,,CA00249
50,557,f,100036,,CA00253
51,508,f,100036,,CA00254
52,508,f,100036,,CA00255
53,508,f,100036,,CA00256
54,278,f,100036,,CA00261
55,46132,f,100053,,CA00182
56,4943,f,100052,,CA00028
57,5094,f,100052,,CA00099
58,4358,f,100056,,CA00179
83,60331,t,100069,,CA00236
84,64405,t,100069,,CA00237
61,200,t,100119,,CA00105
62,13098,t,,1,CA00120
63,14653,t,,1,CA00121
59,2832,t,100118,,CA00316
64,1862,t,100061,,CA00047
69,6726,t,100070,,CA00092
65,1578,t,100062,,CA00109
67,20913,t,100067,,CA00123
68,2100,t,100070,,CA00131
66,1263,t,100065,,CA00197
70,1631,t,100074,,CA00132
71,104971,t,100063,,CA00136
72,5591,t,100063,,CA00319
73,2184,t,100101,,CA00158
74,16242,t,100071,,CA00003
75,119595,t,100071,,CA00010
76,120839,t,100071,,CA00015
77,60882,t,100071,,CA00016
78,77393,t,100071,,CA00017
79,2311,t,100071,,CA00018
80,19142,t,100071,,CA00019
81,18789,t,100071,,CA00020
82,74759,t,100069,,CA00238
85,27610,t,100069,,CA00239
86,18378,t,100069,,CA00240
87,40413,t,100069,,CA00241
88,14782,t,100069,,CA00242
89,4830,t,100069,,CA00272
90,3419,t,100069,,CA00318
91,6305,t,100069,,CA00343
100,189727,t,100088,,CA00077
92,5221,t,100005,,CA00093
94,402,t,100060,,CA00106
101,25335,t,100090,,CA00122
93,48369,t,100059,,CA00140
96,2934,t,100077,,CA00189
98,3527,t,100080,,CA00302
99,6107,t,100085,,CA00304
95,58,t,100060,,CA00310
97,3265,t,100079,,CA00376
103,632,t,100146,,CA00352
