id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
1,11667,f,100025,,CB00006
2,11864,f,100030,,CB00023
3,5000,f,100031,,CB00004
4,7764,f,100034,,CB00015
5,13608,f,100035,,CB00032
6,25192,f,100037,,GST00006
7,122903,f,100037,,GST00007
8,48708,f,100037,,GST00008
9,17318,t,100011,,CB00046
10,17655,t,100016,,CB00005
11,7025,t,100017,,CB00021
13,10211,t,100022,,CB00036
20,17642,f,,3,CB00031
21,23810,f,100040,,CB00047
22,22729,f,100044,,CB00059
23,3654,f,100045,,CB00013
24,2788,f,100045,,CB00012
25,9084,f,100050,,CB00048
26,19046,f,100053,,CB00029
27,2684,f,100113,,CB00016
28,14346,f,100116,,CB00064
29,2834,f,100041,,CB00017
30,11392,f,100120,,CB00017
36,9084,f,,1,CB00048
31,30050,t,,2,GST00001
32,3156,t,,2,GST00002
33,60991,t,,2,GST00003
34,28775,t,,2,GST00004
35,20815,t,,2,GST00005
39,7189,t,100078,,CB00025
38,18461,t,100078,,CB00045
37,38724,t,100078,,CB00062
42,7550,t,100107,,CB00020
41,5534,t,100101,,CB00030
40,3000,t,100100,,CB00063
43,5353,t,100103,,CB00083
53,152534,t,100084,,CB00001
57,10138,t,100088,,CB00019
58,36319,t,100089,,CB00024
50,6928,t,100074,,CB00028
48,53234,t,100072,,CB00049
47,10745,t,100068,,CB00052
55,28842,t,100086,,CB00071
46,2482,t,100058,,CB00075
51,4870,t,100077,,CB00082
44,7342,t,100042,,CB00087
49,4000,t,100073,,CB00090
59,78994,t,100089,,CB00100
52,39653,t,100083,,CB00102
45,32979,t,100055,,CB00108
56,7093,t,100086,,CB00120
54,155541,t,100084,,GST00009
61,31397,f,,5,CB00011
62,13143,f,,6,CB00094
67,24698,t,100132,,CB00003
68,6385,t,100139,,CB00009
70,20606,t,100142,,CB00057
69,9551,t,100141,,CB00080
71,15258,t,100143,,CB00086
72,5126,t,100134,,CB00096
78,31397,t,100160,,CB00011
80,11182,t,100163,,CB00077
79,13143,t,100161,,CB00094
82,12345,t,100173,,CB00127
81,8034,t,100169,,CB00136
63,50445,t,,7,CB00033
64,37896,t,,7,CB00054
66,4325,t,,8,CB00063
76,3592,t,,12,CB00065
60,3631,t,,4,CB00073
73,2063,t,,9,CB00074
65,28028,t,,7,CB00113
75,94744,t,,11,CB00044
74,126426,t,,10,CB00055
86,24945,t,100108,,CB00060
87,35522,t,100109,,CB00061
88,7680,t,100110,,CB00135
89,4823,t,100104,,CB00170
83,79217,t,,14,CB00123
91,3500,t,100112,,CB00144
77,55938,t,,13,CB00034
85,3761,t,,16,CB00078
84,9203,t,,15,CB00133
92,12636,t,100150,,CB00041
90,10992,t,,17,CB00088
93,11324,t,100150,,CB00089
94,1197,t,100245,,CB00129
96,2480,t,100248,,CB00130
95,13298,t,100246,,CB00139
97,2737,t,100250,,CB00155
101,3979,t,100127,,CB00164
104,3256,f,,23,CB00070
98,22488,t,,18,CB00101
100,16564,t,,20,CB00116
99,11375,t,,19,CB00126
117,2015,f,100303,,CB00106
115,3256,t,100294,,CB00070
124,14844,t,100225,,CB00099
118,74165,t,100223,,CB00109
119,69661,t,100223,,CB00110
120,78674,t,100223,,CB00111
121,84680,t,100224,,CB00112
122,32283,t,100224,,CB00117
112,5410,t,,27,CB00119
123,49714,t,100224,,CB00122
103,38606,t,,22,CB00131
116,43595,t,100301,,CB00134
105,12699,t,,24,CB00138
108,29120,t,,26,CB00147
106,4396,t,,25,CB00153
102,6569,t,,21,CB00162
109,8667,t,,27,CB00171
110,31107,t,,27,CB00172
107,50562,t,,26,CB00178
111,1866,t,,27,CB00180
114,7588,t,100275,,CB00145
129,30000,t,,31,CB00027
126,8291,t,,30,CB00105
133,18933,t,100176,,CB00114
127,4138,t,,30,CB00124
134,20841,t,100176,,CB00128
128,113093,t,,30,CB00140
113,16895,t,,28,CB00143
125,8355,t,,29,CB00157
130,8605,t,,32,CB00177
132,33064,t,100111,,CB00184
131,14783,t,,33,CB00050
135,7090,t,100178,,CB00195
136,14408,t,100177,,CB00181
137,3820,t,100177,,CB00182
139,3579,t,100200,,CB00161
138,169675,t,100195,,CB00118
145,37345,t,,37,CB00027
140,3344,t,,34,CB00151
141,11049,t,,35,CB00160
142,77518,t,,36,CB00163
143,26495,t,,36,CB00165
144,25769,t,,36,CB00166
147,5193,t,100091,,CB00167
148,3735,t,100179,,CB00196
149,23031,t,100180,,CB00202
154,27844,f,,43,CB00121
156,2674,f,,45,CB00194
146,7803,t,,38,CB00154
165,20457,t,100211,,CB00189
162,14708,t,100203,,CB00201
164,4416,t,100209,,CB00256
163,11283,t,100204,,CB00260
151,3020,t,,40,CB00183
150,6765,t,,39,CB00261
152,6266,t,,41,CB00141
153,12000,t,,42,CB00079
166,28658,t,100232,,CB00257
167,100879,t,100262,,CB00051
168,196092,t,100262,,CB00084
171,53388,t,100276,,CB00008
169,67724,t,100263,,CB00010
170,28358,t,100264,,CB00035
172,7452,t,100278,,CB00234
155,6004,t,,44,CB00225
173,1847,t,100280,,CB00267
175,11922,t,100219,,CB00232
174,4530,t,100219,,CB00297
157,12897,t,,46,CB00079
160,86647,t,,49,CB00186
177,11584,t,100259,,CB00190
158,40000,t,,47,CB00203
161,5001,t,,49,CB00222
159,7013,t,,48,CB00198
179,18724,t,100315,,CB00173
176,86267,t,,50,CB00242
182,40000,t,100326,,CB00254
180,493,t,100315,,CB00268
181,2228,t,100323,,CB00271
178,9566,t,100313,,CB00285
187,36357,t,100331,,CB00169
186,13835,t,100331,,CB00179
189,65501,t,100332,,CB00197
183,6247,t,100330,,CB00212
184,13591,t,100330,,CB00213
185,144784,t,100330,,CB00240
190,35446,t,100332,,CB00273
188,19558,t,100332,,CB00274
193,58768,t,100299,,CB00053
194,53523,t,100299,,CB00066
195,81183,t,100300,,CB00103
196,25719,t,100300,,CB00251
201,21102,t,100355,,CB00203
206,2000,t,100370,,CB00227
207,47839,t,100370,,CB00228
208,25504,t,100370,,CB00229
209,10892,t,100370,,CB00230
210,18626,t,100370,,CB00231
200,117872,t,100354,,CB00241
211,30101,t,100370,,CB00244
202,19788,t,100355,,CB00254
205,37228,t,100369,,CB00258
203,3945,t,100358,,CB00277
204,3049,t,100363,,CB00363
191,33841,f,,51,CB00176
227,18403,t,100343,,CB00246
192,44505,t,,51,CB00217
198,6683,t,,53,CB00215
197,5173,t,,52,CB00265
199,3539,t,,54,CB00280
212,9493,t,100350,,CB00233
215,75104,f,,57,CB00262
216,104468,f,,57,CB00263
217,4281,f,,57,CB00276
219,4956,f,,59,CB00310
220,3051,f,,60,CB00298
221,28229,f,,61,CB00281
224,14736,t,100338,,CB00097
222,15000,t,100335,,CB00270
225,2139,t,100338,,CB00275
223,102265,t,100337,,CB00316
228,43980,t,100343,,CB00247
229,22043,t,100343,,CB00248
230,32387,t,100343,,CB00249
226,38615,t,100342,,CB00252
231,39938,t,100344,,CB00278
213,3898,t,,55,CB00185
218,7045,t,,58,CB00283
214,15323,t,,56,CB00284
232,75104,t,100372,,CB00262
233,104468,t,100372,,CB00263
236,4453,t,100378,,CB00264
234,4281,t,100372,,CB00276
235,6366,t,100374,,CB00279
240,28228,t,100386,,CB00281
237,27385,t,100383,,CB00287
238,3051,t,100384,,CB00298
239,4956,t,100385,,CB00310
241,4516,t,100391,,CB00319
242,30578,f,,62,CB00272
243,4268,t,100426,,CB00305
245,11567,t,100435,,CB00259
244,30578,t,100431,,CB00272
247,11987,t,100442,,CB00290
256,26524,t,100454,,CB00292
250,3803,t,100451,,CB00329
