bill_id,reason,print_time,print_type,irn,vehicle_id,delivered,loading_time,delivered_time,plain_loading_sheet,cash_bill,is_reloaded,delivery_reason,loading_sheet_id
AB77496,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77506,,2026-01-28 03:48:44.080078+00,first_copy,,,,,,f,f,t,,
AB77508,,2026-01-28 03:48:44.080078+00,first_copy,,,,,,f,f,t,,
AB77510,,2026-01-28 03:48:44.080078+00,first_copy,,,,,,f,f,t,,
AB77511,,2026-01-28 03:48:44.080078+00,first_copy,,,,,,f,f,t,,
AB77516,,2026-01-28 03:48:44.080078+00,first_copy,,,,,,f,f,t,,
AB77485,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77486,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77487,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77489,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77490,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77481,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77482,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77483,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77484,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77520,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77521,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77478,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77480,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77501,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77502,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77503,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77504,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77505,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77517,,2026-01-28 03:43:24.583772+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77478
AB77507,,2026-01-28 03:45:00.307029+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77507
AB77509,,2026-01-28 03:45:00.307029+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77507
AB77512,,2026-01-28 03:45:00.307029+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77507
AB77513,,2026-01-28 03:45:00.307029+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77507
AB77514,,2026-01-28 03:45:00.307029+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77507
AB77515,,2026-01-28 03:45:00.307029+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77507
AB77518,,2026-01-28 03:48:44.080078+00,first_copy,,,,,,f,f,t,,
AB77519,,2026-01-28 03:48:44.080078+00,first_copy,,,,,,f,f,t,,
AB77479,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77500,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77529,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77530,,2026-01-28 03:51:04.863424+00,first_copy,,,,,,f,f,t,,
AB77564,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77565,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77566,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77491,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77492,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77493,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77495,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77497,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77498,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77499,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77522,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77523,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77524,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77525,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77526,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77527,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77528,,2026-01-28 03:52:59.928503+00,first_copy,,,,,,f,f,t,,
AB77567,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77568,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77569,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77558,,2026-01-28 06:46:50.428687+00,first_copy,,,,,,f,f,t,,
AB77559,,2026-01-28 06:46:50.428687+00,first_copy,,,,,,f,f,t,,
AB77560,,2026-01-28 06:46:50.428687+00,first_copy,,,,,,f,f,t,,
AB77561,,2026-01-28 06:46:50.428687+00,first_copy,,,,,,f,f,t,,
AB77562,,2026-01-28 06:46:50.428687+00,first_copy,,,,,,f,f,t,,
AB77563,,2026-01-28 06:46:50.428687+00,first_copy,,,,,,f,f,t,,
AB77531,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77532,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77533,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77534,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77535,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77536,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77537,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77538,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77539,,2026-01-28 05:36:53.042349+00,first_copy,,,,,,f,f,t,,
AB77540,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77541,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77542,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77543,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77544,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77545,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77546,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77547,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
AB77548,,2026-01-28 06:02:33.645499+00,first_copy,,,,,,f,f,t,,
